node_i,node_j,p_value
Theft,OtherCarCost,0.9980175231521686
Theft,PropCost,0.5812314704735522
ThisCarCost,Airbag,0.6740518436125746
ThisCarCost,AntiTheft,0.8946513239724729
ThisCarCost,CarValue,0.0
ThisCarCost,Cushioning,0.6722066026931036
ThisCarCost,DrivHist,0.30373938071742607
ThisCarCost,HomeBase,0.14285961097938207
ThisCarCost,ILiCost,0.12326305884868954
ThisCarCost,MedCost,0.999999960609626
ThisCarCost,OtherCar,0.7506506284692983
ThisCarCost,OtherCarCost,0.3690073869152417
ThisCarCost,PropCost,8.247522512627704e-174
ThisCarCost,Theft,0.9594081520241446
ThisCarDam,Accident,0.0
ThisCarDam,Airbag,0.9508861377971319
ThisCarDam,AntiTheft,0.5430707167409399
ThisCarDam,Antilock,0.16051888259859498
ThisCarDam,CarValue,0.24195654244565729
ThisCarDam,Cushioning,0.8740654542771871
ThisCarDam,DrivHist,0.7340567285452921
ThisCarDam,DrivQuality,0.37331843708627876
ThisCarDam,DrivingSkill,0.37619630211784877
ThisCarDam,HomeBase,0.3648378940490362
ThisCarDam,ILiCost,0.06385860973878058
ThisCarDam,MakeModel,0.11011108057491079
ThisCarDam,MedCost,0.5989334257084927
ThisCarDam,Mileage,0.9080578577284504
ThisCarDam,OtherCar,0.1549602410735531
ThisCarDam,OtherCarCost,0.8794608085089457
ThisCarDam,PropCost,0.7226456482210659
ThisCarDam,RuggedAuto,0.09117586259927499
ThisCarDam,SeniorTrain,0.8079661626058604
ThisCarDam,Theft,0.685739726982723
ThisCarDam,ThisCarCost,1.4068047638755484e-131
VehicleYear,Accident,0.7210000871781286
VehicleYear,Airbag,0.0
VehicleYear,AntiTheft,0.7527328980148252
VehicleYear,Antilock,2.2116600262814702e-98
VehicleYear,CarValue,8.014345621483287e-247
VehicleYear,Cushioning,0.3874258389867568
VehicleYear,DrivHist,0.6068872075606757
VehicleYear,DrivQuality,0.3448501114502351
VehicleYear,DrivingSkill,0.07887650373043392
VehicleYear,HomeBase,0.3665096304196726
VehicleYear,ILiCost,0.4005509800799064
VehicleYear,MakeModel,0.43797392066936014
VehicleYear,MedCost,0.0637949199678704
VehicleYear,Mileage,0.2023307834074989
VehicleYear,OtherCar,0.8945845450255162
VehicleYear,OtherCarCost,0.213204081264559
VehicleYear,PropCost,0.2522783741186495
VehicleYear,RuggedAuto,2.5256933296514516e-44
VehicleYear,SeniorTrain,0.9300956853918964
VehicleYear,Theft,0.055161536045472984
VehicleYear,ThisCarCost,0.28229614668707825
VehicleYear,ThisCarDam,0.32746989919694497
